Chg, spotDist, metRelChg, volChg, target
108, 51, 116, 107, BUY
108, 49, 123, 29, BUY
110, 48, 109, 154, BUY
39, 47, 59, 102, BUY
79, 37, 90, 110, BUY
144, 32, 87, 110, BUY
51, 36, 0, 13, BUY
135, 27, 118, 240, BUY
149, 29, 146, 45, BUY
123, 33, 123, 166, BUY
92, 33, 106, 87, BUY
105, 30, 92, 127, BUY
103, 28, 115, 98, BUY
64, 26, 90, 23, BUY
91, 19, 86, 137, BUY
175, 16, 131, 137, BUY
132, 49, 103, 90, BUY
108, 51, 116, 107, BUY
108, 49, 123, 29, BUY
110, 48, 109, 154, BUY
39, 47, 59, 102, BUY
79, 37, 90, 110, BUY
144, 32, 87, 110, BUY
51, 36, 0, 13, BUY
135, 27, 118, 240, BUY
149, 29, 146, 45, BUY
123, 33, 123, 166, BUY
92, 33, 106, 87, BUY
105, 30, 92, 127, BUY
103, 28, 115, 98, BUY
64, 26, 90, 23, BUY
91, 19, 86, 137, BUY
175, 16, 131, 60, BUY
128, 23, 132, 130, BUY
149, 24, 63, 24, BUY
193, 28, 146, 172, BUY
159, 37, 90, 79, BUY
144, 43, 55, 95, BUY
117, 46, 121, 216, BUY
79, 45, 106, 78, BUY
59, 41, 98, 63, BUY
75, 33, 72, 70, BUY
121, 28, 117, 118, BUY
133, 28, 111, 129, BUY
89, 30, 111, 53, BUY
80, 26, 111, 96, BUY
114, 21, 111, 160, BUY
90, 21, 111, 32, BUY
69, 17, 111, 51, BUY
115, 10, 134, 149, BUY
208, 10, 171, 29, BUY
145, 21, 127, 251, BUY
119, 25, 95, 92, BUY
120, 25, 135, 112, BUY
112, 25, 118, 75, BUY
77, 24, 76, 57, BUY
83, 19, 110, 131, BUY
143, 14, 120, 131, BUY
193, 28, 146, 172, BUY
159, 37, 90, 79, BUY
144, 43, 55, 95, BUY
117, 46, 121, 216, BUY
79, 45, 106, 78, BUY
59, 41, 98, 63, BUY
75, 33, 72, 70, BUY
121, 28, 117, 118, BUY
133, 28, 111, 129, BUY
89, 30, 111, 53, BUY
80, 26, 111, 96, BUY
114, 21, 111, 160, BUY
90, 21, 111, 32, BUY
69, 17, 111, 51, BUY
115, 10, 134, 149, BUY
208, 10, 171, 29, BUY
145, 21, 127, 251, BUY
119, 25, 95, 92, BUY
120, 25, 135, 112, BUY
112, 25, 118, 75, BUY
77, 24, 76, 57, BUY
83, 19, 110, 131, BUY
143, 14, 120, 76, BUY
122, 17, 120, 80, BUY
127, 18, 98, 54, BUY
153, 19, 139, 121, BUY
208, 23, 157, 0, BUY
194, 35, 150, 112, BUY
132, 44, 130, 146, BUY
103, 46, 115, 123, BUY
75, 44, 109, 87, BUY
105, 38, 80, 113, BUY
17, 37, 60, 22, BUY
16, 24, 47, 103, BUY
75, 10, 33, 82, BUY
119, 4, 81, 148, BUY
223, 4, 214, 39, BUY
185, 18, 190, 158, BUY
123, 26, 145, 163, BUY
122, 27, 143, 63, BUY
124, 27, 124, 88, BUY
95, 28, 92, 68, BUY
143, 25, 130, 68, BUY
77, 24, 76, 57, BUY
83, 19, 110, 131, BUY
143, 14, 120, 76, BUY
122, 17, 120, 80, BUY
127, 18, 98, 54, BUY
153, 19, 139, 121, BUY
208, 23, 157, 0, BUY
194, 35, 150, 112, BUY
132, 44, 130, 146, BUY
103, 46, 115, 123, BUY
75, 44, 109, 87, BUY
105, 38, 80, 113, BUY
17, 37, 60, 22, BUY
16, 24, 47, 103, BUY
75, 10, 33, 82, BUY
119, 4, 81, 148, BUY
223, 4, 214, 39, BUY
