Chg, spotDist, metRelChg, volChg, target
120, 13, 93, 52, HOLD
164, 14, 125, 16, HOLD
133, 16, 54, 43, HOLD
88, 17, 173, 43, HOLD
46, 10, 173, 52, HOLD
63, 9, 165, 22, HOLD
152, 8, 138, 28, HOLD
134, 10, 158, 37, HOLD
97, 11, 140, 33, HOLD
113, 12, 182, 18, HOLD
58, 12, 122, 78, HOLD
44, 11, 139, 24, HOLD
110, 10, 175, 50, HOLD
78, 11, 176, 34, HOLD
66, 10, 203, 24, HOLD
86, 9, 162, 22, HOLD
131, 9, 120, 38, HOLD
76, 11, 152, 60, HOLD
178, 10, 116, 3, HOLD
120, 13, 93, 52, HOLD
164, 14, 125, 16, HOLD
133, 16, 54, 43, HOLD
88, 17, 173, 60, HOLD
83, 17, 221, 31, HOLD
32, 17, 182, 36, HOLD
80, 15, 165, 24, HOLD
73, 15, 135, 33, HOLD
76, 14, 153, 45, HOLD
93, 14, 153, 43, HOLD
104, 14, 153, 22, HOLD
122, 14, 153, 43, HOLD
76, 15, 153, 34, HOLD
35, 15, 153, 22, HOLD
55, 13, 156, 57, HOLD
144, 12, 138, 11, HOLD
112, 14, 154, 54, HOLD
86, 15, 118, 28, HOLD
73, 14, 171, 56, HOLD
85, 14, 173, 29, HOLD
102, 14, 198, 31, HOLD
49, 14, 174, 23, HOLD
120, 13, 156, 29, HOLD
104, 14, 181, 46, HOLD
101, 14, 126, 35, HOLD
79, 15, 113, 37, HOLD
129, 14, 94, 37, HOLD
32, 17, 182, 36, HOLD
80, 15, 165, 24, HOLD
73, 15, 135, 33, HOLD
76, 14, 153, 45, HOLD
93, 14, 153, 43, HOLD
104, 14, 153, 22, HOLD
122, 14, 153, 43, HOLD
76, 15, 153, 34, HOLD
35, 15, 153, 22, HOLD
55, 13, 156, 57, HOLD
144, 12, 138, 11, HOLD
112, 14, 154, 54, HOLD
86, 15, 118, 28, HOLD
73, 14, 171, 56, HOLD
85, 14, 173, 29, HOLD
102, 14, 198, 31, HOLD
49, 14, 174, 23, HOLD
120, 13, 156, 29, HOLD
104, 14, 181, 46, HOLD
101, 14, 126, 35, HOLD
79, 15, 113, 37, HOLD
129, 14, 94, 6, HOLD
138, 15, 122, 50, HOLD
78, 17, 142, 36, HOLD
70, 16, 167, 48, HOLD
53, 16, 196, 31, HOLD
90, 15, 127, 10, HOLD
20, 15, 187, 32, HOLD
38, 12, 191, 43, HOLD
196, 11, 251, 5, HOLD
174, 14, 211, 83, HOLD
105, 17, 132, 44, HOLD
81, 17, 141, 33, HOLD
59, 17, 163, 49, HOLD
101, 16, 218, 18, HOLD
78, 16, 149, 55, HOLD
121, 16, 214, 20, HOLD
118, 17, 174, 29, HOLD
56, 18, 167, 255, HOLD
134, 17, 179, 0, HOLD
179, 18, 236, 24, HOLD
117, 21, 205, 35, HOLD
126, 21, 212, 35, HOLD
78, 17, 142, 36, HOLD
70, 16, 167, 48, HOLD
53, 16, 196, 31, HOLD
90, 15, 127, 10, HOLD
20, 15, 187, 32, HOLD
38, 12, 191, 43, HOLD
196, 11, 251, 5, HOLD
174, 14, 211, 83, HOLD
105, 17, 132, 44, HOLD
81, 17, 141, 33, HOLD
59, 17, 163, 49, HOLD
101, 16, 218, 18, HOLD
78, 16, 149, 55, HOLD
121, 16, 214, 20, HOLD
118, 17, 174, 29, HOLD
56, 18, 167, 255, HOLD
