imp_v,spotDist,u%Chg,oLast,target
0,86,43,49,WRITE
0,84,22,54,WRITE
0,116,4,5,BUY
0,149,7,0,BUY
0,181,5,1,HOLD
0,133,26,5,HOLD
0,111,25,14,HOLD
0,129,28,7,HOLD
0,178,7,1,HOLD
0,202,64,0,HOLD
0,83,11,57,WRITE
0,131,21,2,HOLD
0,92,8,35,WRITE
0,95,43,28,WRITE
0,114,10,2,BUY
37,112,35,11,HOLD
0,105,10,9,WRITE
33,129,19,5,HOLD
0,111,4,3,BUY
63,2,4,249,WRITE
0,123,44,10,HOLD
0,137,8,0,BUY
0,223,9,1,HOLD
0,148,22,0,BUY
0,136,49,0,BUY
0,79,26,67,HOLD
60,3,43,244,WRITE
41,103,9,19,WRITE
0,118,46,10,HOLD
0,93,64,32,WRITE
0,53,3,128,HOLD
0,127,10,7,HOLD
65,6,23,242,WRITE
0,84,43,53,WRITE
61,3,64,252,WRITE
0,114,20,14,HOLD
0,155,21,1,HOLD
0,125,51,2,BUY
42,102,19,19,WRITE
32,164,34,1,HOLD
0,116,51,5,BUY
0,92,6,35,WRITE
0,129,10,0,BUY
0,126,22,1,BUY
0,132,1,1,BUY
33,69,6,90,HOLD
34,55,55,123,HOLD
52,86,15,49,WRITE
0,40,29,158,HOLD
0,141,50,0,BUY
0,167,64,0,HOLD
58,0,47,251,WRITE
0,139,44,0,BUY
0,111,22,4,BUY
52,5,15,242,WRITE
0,146,11,0,BUY
0,93,43,32,WRITE
0,140,7,0,BUY
62,3,22,251,WRITE
0,121,22,1,BUY
53,83,32,55,WRITE
0,110,6,5,BUY
0,92,32,34,WRITE
0,113,38,5,BUY
0,107,27,20,HOLD
0,114,23,2,BUY
0,101,60,25,HOLD
0,130,64,0,BUY
0,93,10,39,HOLD
0,118,23,3,BUY
0,117,47,3,BUY
0,122,23,1,BUY
0,94,12,31,WRITE
0,126,8,7,HOLD
0,154,99,3,HOLD
0,120,12,2,BUY
0,147,22,0,BUY
0,113,43,2,BUY
0,150,10,0,BUY
0,123,50,2,BUY
0,119,32,3,BUY
0,90,47,40,WRITE
0,93,10,32,WRITE
0,168,44,2,HOLD
0,122,64,1,BUY
27,90,19,48,HOLD
33,195,6,0,HOLD
47,7,4,237,WRITE
0,146,6,0,BUY
0,161,9,3,HOLD
0,109,23,8,BUY
59,5,111,253,WRITE
41,104,35,17,WRITE
0,108,19,17,HOLD
0,91,49,37,WRITE
48,96,36,28,WRITE
45,10,97,223,WRITE
51,96,19,29,WRITE
0,149,38,0,BUY
46,8,51,233,WRITE
0,95,48,31,WRITE
0,210,10,0,HOLD
0,122,16,2,BUY
46,89,51,44,WRITE
34,29,51,190,HOLD
0,93,12,33,WRITE
0,147,4,0,BUY
44,95,105,30,WRITE
0,137,6,0,BUY
0,122,13,0,BUY
0,122,105,2,BUY
0,75,2,75,HOLD
0,83,89,56,WRITE
0,122,7,2,BUY
22,72,35,83,HOLD
0,166,2,3,HOLD
0,180,23,0,HOLD
0,97,1,26,WRITE
0,128,32,1,BUY
0,114,1,6,BUY
0,149,23,0,BUY
0,123,1,2,BUY
0,131,7,1,BUY
0,128,89,1,BUY
0,105,23,8,WRITE
0,127,35,7,HOLD
47,88,1,44,WRITE
0,130,44,1,BUY
61,2,32,247,WRITE
0,120,43,2,BUY
0,93,22,33,WRITE
0,140,38,0,BUY
0,112,66,7,BUY
52,84,44,53,WRITE
0,95,13,27,WRITE
34,142,63,2,HOLD
51,96,1,28,WRITE
0,126,47,1,BUY
56,87,32,46,WRITE
0,120,10,1,BUY
0,131,38,0,BUY
33,79,60,67,HOLD
0,132,36,0,BUY
0,127,23,1,BUY
31,245,82,0,HOLD
0,86,13,48,WRITE
32,238,62,0,HOLD
0,159,10,0,BUY
57,2,89,243,WRITE
0,112,44,7,BUY
0,139,66,0,BUY
0,125,4,2,BUY
39,44,1,149,HOLD
0,165,124,1,HOLD
0,97,43,33,HOLD
0,179,55,2,HOLD
0,139,2,5,HOLD
0,156,2,2,HOLD
39,107,17,14,HOLD
53,85,56,51,WRITE
0,95,64,27,WRITE
0,122,15,2,BUY
0,130,12,1,BUY
0,150,23,0,BUY
56,86,7,48,WRITE
49,97,19,26,WRITE
0,83,4,55,WRITE
0,104,43,10,WRITE
0,47,5,143,HOLD
0,147,12,0,BUY
33,237,25,0,HOLD
0,135,47,1,BUY
0,132,32,0,BUY
41,103,12,17,WRITE
0,149,9,0,BUY
0,129,12,0,BUY
0,110,32,8,BUY
0,82,26,60,HOLD
0,140,15,0,BUY
0,175,56,0,HOLD
43,99,39,22,WRITE
54,95,38,30,WRITE
0,146,32,0,BUY
0,109,49,6,BUY
0,95,111,29,WRITE
0,107,8,19,HOLD
0,198,50,2,HOLD
52,95,15,30,WRITE
0,113,7,4,BUY
0,113,9,6,BUY
0,224,9,2,HOLD
54,87,60,46,WRITE
41,104,9,17,WRITE
0,96,36,28,WRITE
0,123,23,0,BUY
0,92,4,33,WRITE
0,125,1,2,BUY
0,129,4,0,BUY
0,124,9,2,BUY
0,95,9,31,WRITE
54,5,38,240,WRITE
0,115,22,14,HOLD
0,151,18,3,HOLD
0,110,32,5,BUY
55,5,7,243,WRITE
40,103,19,18,WRITE
0,130,56,1,BUY
0,122,38,2,BUY
0,95,7,29,WRITE
0,86,10,47,WRITE
0,150,60,0,BUY
50,4,66,239,WRITE
0,123,36,2,BUY
0,82,23,59,WRITE
0,209,72,0,HOLD
0,90,22,40,WRITE
0,145,49,0,BUY
55,5,9,243,WRITE
0,139,43,3,HOLD
0,122,9,2,BUY
0,124,19,2,BUY
0,70,18,88,HOLD
49,7,19,239,WRITE
0,143,1,0,BUY
