Chg, spotDist, metRelChg, volDiff, target
48, 119, 63, 10, WRITE?
28, 22, 78, 11, HOLD?
49, 199, 84, 8, HOLD?
86, 159, 79, 10, HOLD?
22, 213, 74, 10, HOLD?
24, 118, 75, 7, WRITE?
62, 124, 108, 7, WRITE?
71, 16, 131, 12, HOLD?
170, 138, 180, 11, HOLD?
150, 208, 113, 5, HOLD?
19, 11, 69, 11, HOLD?
74, 81, 121, 10, WRITE?
49, 72, 84, 8, HOLD?
57, 192, 105, 10, HOLD?
1, 55, 58, 12, HOLD?
17, 200, 84, 11, HOLD?
67, 243, 104, 10, HOLD?
67, 94, 104, 10, HOLD?
32, 93, 102, 8, WRITE?
9, 234, 99, 13, HOLD?
97, 64, 133, 7, HOLD?
137, 146, 111, 11, HOLD?
48, 172, 63, 10, HOLD?
117, 61, 107, 9, HOLD?
28, 182, 78, 11, HOLD?
28, 192, 78, 11, HOLD?
12, 43, 88, 10, HOLD?
62, 219, 108, 10, HOLD?
1, 246, 58, 12, HOLD?
27, 120, 76, 10, WRITE?
22, 109, 26, 11, WRITE?
23, 203, 84, 8, HOLD?
19, 181, 81, 11, HOLD?
255, 74, 255, 8, WRITE?
49, 146, 84, 8, HOLD?
68, 95, 136, 8, WRITE?
22, 130, 26, 11, HOLD?
49, 51, 84, 8, HOLD?
33, 80, 47, 10, HOLD?
22, 183, 26, 11, HOLD?
4, 19, 66, 11, HOLD?
170, 85, 180, 11, WRITE?
1, 25, 0, 11, HOLD?
150, 177, 113, 5, HOLD?
8, 220, 59, 10, HOLD?
1, 34, 58, 12, HOLD?
62, 155, 108, 10, HOLD?
9, 118, 59, 9, WRITE?
1, 78, 0, 11, HOLD?
28, 76, 78, 11, HOLD?
34, 134, 1, 7, HOLD?
86, 53, 79, 10, HOLD?
57, 86, 42, 6, HOLD?
48, 19, 102, 9, HOLD?
11, 199, 49, 13, HOLD?
57, 107, 105, 10, WRITE?
78, 25, 72, 11, HOLD?
1, 87, 58, 12, HOLD?
24, 150, 75, 10, HOLD?
19, 64, 69, 11, HOLD?
8, 92, 59, 10, WRITE?
12, 244, 88, 10, HOLD?
34, 118, 9, 21, WRITE?
14, 22, 9, 11, HOLD?
12, 119, 66, 10, WRITE?
72, 223, 130, 9, HOLD?
4, 72, 66, 11, HOLD?
34, 240, 1, 7, HOLD?
14, 86, 9, 11, WRITE?
137, 82, 111, 11, HOLD?
11, 114, 49, 13, WRITE?
117, 125, 107, 7, WRITE?
34, 161, 47, 10, HOLD?
17, 19, 84, 11, HOLD?
101, 212, 119, 8, HOLD?
34, 34, 47, 10, HOLD?
34, 45, 47, 10, HOLD?
16, 39, 53, 8, HOLD?
4, 136, 66, 11, HOLD?
74, 92, 121, 5, WRITE?
71, 80, 131, 12, WRITE?
28, 107, 78, 7, WRITE?
1, 163, 0, 11, HOLD?
32, 104, 102, 8, WRITE?
4, 114, 66, 7, WRITE?
14, 107, 9, 6, WRITE?
83, 15, 118, 9, HOLD?
12, 64, 88, 10, HOLD?
62, 187, 108, 10, HOLD?
150, 39, 113, 5, HOLD?
93, 125, 93, 7, WRITE?
24, 55, 75, 10, HOLD?
17, 115, 84, 7, WRITE?
1, 173, 0, 11, HOLD?
97, 86, 133, 7, WRITE?
16, 82, 53, 8, WRITE?
137, 199, 111, 11, HOLD?
49, 157, 84, 8, HOLD?
19, 159, 69, 11, HOLD?
34, 140, 47, 10, HOLD?
57, 171, 42, 6, HOLD?
150, 219, 113, 5, HOLD?
67, 169, 104, 10, HOLD?
49, 82, 84, 8, WRITE?
62, 81, 108, 10, WRITE?
34, 59, 1, 7, HOLD?
255, 85, 255, 8, WRITE?
92, 45, 116, 11, HOLD?
97, 116, 104, 10, WRITE?
65, 84, 124, 11, WRITE?
17, 94, 84, 11, WRITE?
83, 100, 118, 9, WRITE?
76, 204, 119, 10, HOLD?
49, 72, 84, 8, HOLD?
67, 84, 104, 10, HOLD?
11, 29, 49, 13, HOLD?
97, 96, 133, 7, WRITE?
1, 88, 0, 11, HOLD?
12, 98, 66, 10, HOLD?
97, 201, 104, 10, HOLD?
23, 22, 84, 8, HOLD?
23, 171, 84, 8, HOLD?
8, 199, 59, 10, HOLD?
48, 225, 63, 10, HOLD?
48, 104, 102, 9, WRITE?
78, 121, 72, 11, WRITE?
92, 119, 116, 11, WRITE?
83, 68, 118, 9, HOLD?
65, 41, 124, 11, HOLD?
27, 67, 76, 10, HOLD?
9, 245, 59, 11, HOLD?
19, 106, 69, 6, WRITE?
68, 180, 136, 8, HOLD?
74, 102, 121, 10, WRITE?
137, 50, 111, 11, HOLD?
19, 118, 81, 11, WRITE?
23, 171, 84, 8, HOLD?
97, 181, 133, 7, HOLD?
14, 83, 87, 11, WRITE?
150, 123, 113, 0, WRITE?
22, 86, 74, 10, HOLD?
1, 173, 0, 11, HOLD?
76, 193, 119, 10, HOLD?
97, 179, 104, 10, HOLD?
22, 141, 26, 11, HOLD?
76, 246, 119, 10, HOLD?
80, 119, 110, 7, WRITE?
14, 97, 9, 11, WRITE?
1, 119, 58, 12, WRITE?
27, 216, 76, 10, HOLD?
83, 121, 118, 12, WRITE?
80, 98, 110, 10, WRITE?
78, 216, 72, 11, HOLD?
49, 114, 84, 5, WRITE?
97, 222, 104, 10, HOLD?
121, 220, 143, 7, HOLD?
80, 34, 110, 10, HOLD?
255, 106, 255, 8, WRITE?
0, 87, 89, 12, WRITE?
4, 72, 66, 11, HOLD?
49, 93, 84, 8, WRITE?
80, 77, 110, 10, WRITE?
1, 44, 58, 12, HOLD?
65, 137, 124, 11, HOLD?
255, 64, 255, 8, WRITE?
23, 107, 84, 8, WRITE?
101, 95, 119, 8, HOLD?
27, 205, 76, 10, HOLD?
34, 98, 47, 10, WRITE?
12, 109, 66, 5, WRITE?
49, 104, 84, 9, WRITE?
62, 219, 108, 10, HOLD?
9, 150, 59, 11, HOLD?
137, 114, 111, 11, WRITE?
5, 78, 82, 10, HOLD?
0, 45, 89, 12, HOLD?
4, 199, 66, 11, HOLD?
48, 215, 63, 10, HOLD?
14, 224, 9, 11, HOLD?
33, 123, 47, 10, WRITE?
65, 105, 124, 11, WRITE?
32, 61, 102, 8, HOLD?
92, 172, 116, 11, HOLD?
74, 166, 121, 10, HOLD?
5, 195, 82, 10, HOLD?
34, 66, 47, 10, HOLD?
57, 171, 42, 6, HOLD?
72, 117, 130, 9, WRITE?
67, 116, 104, 10, WRITE?
170, 117, 180, 11, WRITE?
11, 167, 49, 13, HOLD?
57, 118, 105, 10, WRITE?
12, 225, 66, 10, HOLD?
4, 93, 66, 11, WRITE?
1, 110, 0, 9, WRITE?
17, 179, 84, 11, HOLD?
19, 128, 81, 16, WRITE?
12, 191, 88, 10, HOLD?
1, 204, 58, 12, HOLD?
48, 77, 63, 10, HOLD?
76, 193, 119, 10, HOLD?
83, 111, 118, 5, WRITE?
14, 150, 9, 11, HOLD?
65, 128, 89, 136, WRITE?
1, 120, 0, 11, WRITE?
17, 62, 84, 11, HOLD?
68, 127, 136, 66, WRITE?
83, 79, 118, 9, WRITE?
65, 160, 89, 11, HOLD?
22, 86, 74, 10, HOLD?
9, 160, 59, 11, HOLD?
34, 28, 1, 7, HOLD?
78, 227, 72, 11, HOLD?
16, 29, 53, 8, HOLD?
33, 144, 47, 10, HOLD?
22, 247, 26, 11, HOLD?
4, 104, 66, 11, WRITE?
24, 86, 75, 10, WRITE?
32, 106, 91, 10, WRITE?
65, 160, 89, 11, HOLD?
57, 203, 42, 6, HOLD?
19, 117, 69, 11, WRITE?
68, 116, 136, 12, WRITE?
