Chg, spotDist, metRelChg, volChg, target
181, 29, 77, 28, HOLD
152, 29, 90, 44, HOLD
233, 30, 131, 22, HOLD
255, 32, 129, 32, HOLD
96, 34, 125, 55, HOLD
105, 33, 165, 37, HOLD
153, 32, 217, 30, HOLD
88, 33, 121, 27, HOLD
247, 32, 223, 23, HOLD
214, 34, 142, 34, HOLD
50, 35, 142, 65, HOLD
157, 33, 142, 41, HOLD
65, 34, 142, 17, HOLD
65, 32, 142, 48, HOLD
69, 31, 142, 25, HOLD
132, 29, 167, 50, HOLD
185, 29, 121, 27, HOLD
127, 30, 116, 45, HOLD
129, 30, 117, 21, HOLD
109, 30, 146, 45, HOLD
127, 29, 149, 30, HOLD
70, 29, 110, 22, HOLD
40, 27, 118, 32, HOLD
156, 25, 131, 35, HOLD
182, 26, 178, 48, HOLD
200, 27, 160, 22, HOLD
163, 28, 144, 44, HOLD
178, 28, 102, 44, HOLD
153, 32, 217, 30, HOLD
88, 33, 121, 27, HOLD
247, 32, 223, 23, HOLD
214, 34, 142, 34, HOLD
50, 35, 142, 65, HOLD
157, 33, 142, 41, HOLD
65, 34, 142, 17, HOLD
65, 32, 142, 48, HOLD
69, 31, 142, 25, HOLD
132, 29, 167, 50, HOLD
185, 29, 121, 27, HOLD
127, 30, 116, 45, HOLD
129, 30, 117, 21, HOLD
109, 30, 146, 45, HOLD
127, 29, 149, 30, HOLD
70, 29, 110, 22, HOLD
40, 27, 118, 32, HOLD
156, 25, 131, 35, HOLD
182, 26, 178, 48, HOLD
200, 27, 160, 22, HOLD
163, 28, 144, 44, HOLD
178, 28, 102, 20, HOLD
149, 29, 91, 46, HOLD
157, 29, 158, 29, HOLD
132, 30, 162, 32, HOLD
70, 30, 149, 40, HOLD
186, 28, 160, 19, HOLD
80, 29, 178, 48, HOLD
87, 28, 171, 31, HOLD
84, 27, 74, 23, HOLD
210, 26, 158, 38, HOLD
118, 27, 102, 42, HOLD
137, 27, 141, 34, HOLD
112, 27, 154, 36, HOLD
32, 26, 96, 19, HOLD
161, 24, 165, 48, HOLD
127, 24, 144, 30, HOLD
176, 24, 158, 40, HOLD
39, 25, 107, 26, HOLD
117, 23, 105, 35, HOLD
101, 22, 91, 33, HOLD
111, 21, 131, 53, HOLD
53, 21, 86, 53, HOLD
157, 29, 158, 29, HOLD
132, 30, 162, 32, HOLD
70, 30, 149, 40, HOLD
186, 28, 160, 19, HOLD
80, 29, 178, 48, HOLD
87, 28, 171, 31, HOLD
84, 27, 74, 23, HOLD
210, 26, 158, 38, HOLD
118, 27, 102, 42, HOLD
137, 27, 141, 34, HOLD
112, 27, 154, 36, HOLD
32, 26, 96, 19, HOLD
161, 24, 165, 48, HOLD
127, 24, 144, 30, HOLD
176, 24, 158, 40, HOLD
39, 25, 107, 26, HOLD
117, 23, 105, 35, HOLD
101, 22, 91, 33, HOLD
111, 21, 131, 53, HOLD
53, 21, 86, 86, HOLD
0, 19, 58, 255, HOLD
105, 16, 182, 79, HOLD
146, 15, 187, 27, HOLD
108, 15, 109, 67, HOLD
113, 14, 152, 40, HOLD
117, 14, 120, 0, HOLD
178, 13, 167, 31, HOLD
104, 14, 78, 35, HOLD
121, 13, 146, 23, HOLD
79, 13, 110, 30, HOLD
183, 11, 158, 51, HOLD
145, 12, 165, 38, HOLD
93, 12, 150, 34, HOLD
93, 11, 156, 30, HOLD
93, 10, 136, 26, HOLD
173, 9, 124, 29, HOLD
211, 10, 156, 40, HOLD
183, 12, 155, 33, HOLD
90, 13, 121, 66, HOLD
85, 12, 165, 30, HOLD
169, 10, 135, 30, HOLD
79, 53, 145, 29, HOLD
106, 52, 135, 29, HOLD
105, 51, 99, 38, HOLD
142, 50, 163, 37, HOLD
90, 50, 126, 30, HOLD
75, 49, 148, 35, HOLD
54, 48, 111, 25, HOLD
100, 47, 106, 32, HOLD
0, 46, 111, 25, HOLD
181, 43, 132, 41, HOLD
134, 44, 151, 32, HOLD
233, 44, 186, 40, HOLD
95, 46, 117, 47, HOLD
113, 45, 174, 28, HOLD
75, 44, 192, 37, HOLD
159, 43, 255, 23, HOLD
158, 43, 199, 42, HOLD
192, 44, 179, 23, HOLD
134, 45, 206, 44, HOLD
123, 45, 158, 28, HOLD
121, 44, 113, 41, HOLD
164, 44, 96, 25, HOLD
172, 45, 163, 30, HOLD
160, 45, 172, 38, HOLD
103, 46, 168, 37, HOLD
107, 45, 198, 25, HOLD
152, 44, 224, 40, HOLD
246, 45, 197, 16, HOLD
172, 47, 174, 40, HOLD
90, 47, 0, 46, HOLD
109, 46, 22, 88, HOLD
178, 46, 239, 26, HOLD
146, 46, 155, 58, HOLD
41, 47, 91, 36, HOLD
46, 45, 135, 17, HOLD
28, 43, 44, 29, HOLD
176, 41, 143, 37, HOLD
181, 41, 156, 32, HOLD
162, 42, 159, 30, HOLD
158, 43, 128, 44, HOLD
91, 43, 127, 23, HOLD
120, 42, 156, 23, HOLD
123, 45, 158, 28, HOLD
121, 44, 113, 41, HOLD
164, 44, 96, 25, HOLD
172, 45, 163, 30, HOLD
160, 45, 172, 38, HOLD
103, 46, 168, 37, HOLD
107, 45, 198, 25, HOLD
152, 44, 224, 40, HOLD
246, 45, 197, 16, HOLD
172, 47, 174, 40, HOLD
90, 47, 0, 46, HOLD
109, 46, 22, 88, HOLD
178, 46, 239, 26, HOLD
146, 46, 155, 58, HOLD
41, 47, 91, 36, HOLD
46, 45, 135, 17, HOLD
28, 43, 44, 29, HOLD
176, 41, 143, 37, HOLD
181, 41, 156, 32, HOLD
162, 42, 159, 30, HOLD
158, 43, 128, 44, HOLD
91, 43, 127, 23, HOLD
120, 42, 156, 24, HOLD
77, 42, 107, 28, HOLD
86, 40, 153, 46, HOLD
127, 39, 163, 19, HOLD
203, 39, 127, 43, HOLD
178, 40, 137, 25, HOLD
91, 41, 94, 30, HOLD
104, 40, 116, 23, HOLD
160, 40, 164, 66, HOLD
184, 40, 204, 24, HOLD
130, 41, 132, 39, HOLD
70, 41, 117, 42, HOLD
107, 39, 169, 29, HOLD
147, 39, 156, 39, HOLD
165, 39, 107, 22, HOLD
65, 39, 100, 29, HOLD
181, 38, 77, 28, HOLD
152, 39, 90, 44, HOLD
233, 39, 131, 22, HOLD
255, 41, 129, 32, HOLD
96, 43, 125, 32, HOLD
86, 40, 153, 46, HOLD
127, 39, 163, 19, HOLD
203, 39, 127, 43, HOLD
178, 40, 137, 25, HOLD
91, 41, 94, 30, HOLD
104, 40, 116, 23, HOLD
160, 40, 164, 66, HOLD
184, 40, 204, 24, HOLD
130, 41, 132, 39, HOLD
70, 41, 117, 42, HOLD
107, 39, 169, 29, HOLD
147, 39, 156, 39, HOLD
165, 39, 107, 22, HOLD
65, 39, 100, 29, HOLD
181, 38, 77, 28, HOLD
152, 39, 90, 44, HOLD
233, 39, 131, 22, HOLD
