imp_v,spotDist,u%Chg,oLast,target
0,33,5,176,HOLD
0,33,19,177,HOLD
0,32,11,178,HOLD
0,32,13,177,HOLD
0,32,11,176,HOLD
0,33,9,176,HOLD
0,33,71,180,HOLD
0,31,4,180,HOLD
0,31,10,181,HOLD
0,31,20,182,HOLD
0,30,55,186,HOLD
0,29,24,184,HOLD
0,29,46,181,HOLD
13,31,38,184,HOLD
0,30,124,192,HOLD
0,26,9,192,HOLD
0,26,9,192,HOLD
0,10,41,231,HOLD
0,12,77,227,HOLD
0,14,13,221,HOLD
65,14,43,222,HOLD
65,15,23,219,HOLD
64,14,10,220,HOLD
64,14,23,221,HOLD
64,13,22,223,HOLD
64,14,64,221,HOLD
63,12,10,227,HOLD
63,11,4,228,HOLD
62,12,22,227,HOLD
62,11,6,229,HOLD
62,11,8,229,HOLD
61,11,32,228,HOLD
61,12,64,225,HOLD
60,10,49,231,HOLD
60,12,12,227,HOLD
60,12,43,226,HOLD
59,14,111,222,HOLD
59,10,23,231,HOLD
58,9,47,233,HOLD
58,11,11,229,HOLD
57,11,89,228,HOLD
57,14,38,221,HOLD
56,15,32,218,HOLD
56,14,7,221,HOLD
55,14,16,221,HOLD
55,14,9,223,HOLD
55,14,7,222,HOLD
54,14,38,221,HOLD
54,15,60,218,HOLD
53,13,56,223,HOLD
53,11,32,228,HOLD
52,12,44,225,HOLD
52,14,15,222,HOLD
51,14,19,220,HOLD
51,15,1,219,HOLD
50,15,50,219,HOLD
50,13,66,223,HOLD
49,16,15,218,HOLD
49,16,19,216,HOLD
48,15,9,218,HOLD
48,15,36,219,HOLD
47,16,1,216,HOLD
47,16,4,215,HOLD
46,17,51,215,HOLD
46,18,22,211,HOLD
45,19,97,209,HOLD
45,22,12,202,HOLD
44,23,48,201,HOLD
44,24,36,197,HOLD
44,23,105,200,HOLD
44,26,9,192,HOLD
43,26,3,192,HOLD
43,27,23,191,HOLD
43,26,52,193,HOLD
43,27,39,189,HOLD
43,29,13,186,HOLD
42,29,25,185,HOLD
42,28,1,187,HOLD
42,28,3,187,HOLD
42,28,53,187,HOLD
42,30,9,183,HOLD
42,30,19,182,HOLD
41,31,12,181,HOLD
41,31,37,180,HOLD
41,32,10,178,HOLD
41,32,9,178,HOLD
41,32,35,179,HOLD
41,31,9,182,HOLD
41,31,47,181,HOLD
41,29,28,184,HOLD
41,29,48,186,HOLD
40,27,57,190,HOLD
40,29,72,186,HOLD
40,31,19,181,HOLD
40,32,25,179,HOLD
40,31,39,181,HOLD
40,32,9,178,HOLD
39,32,21,178,HOLD
39,32,16,179,HOLD
39,31,46,180,HOLD
39,33,6,177,HOLD
39,33,85,176,HOLD
39,35,1,171,HOLD
39,35,17,171,HOLD
39,35,143,172,HOLD
39,39,203,162,HOLD
39,33,54,176,HOLD
39,34,0,173,HOLD
39,34,25,173,HOLD
39,35,3,171,HOLD
38,35,32,171,HOLD
38,34,76,173,HOLD
38,32,36,178,HOLD
38,33,106,176,HOLD
38,30,45,184,HOLD
38,31,12,180,HOLD
38,31,3,180,HOLD
38,31,6,180,HOLD
37,31,35,180,HOLD
37,32,50,178,HOLD
37,34,65,174,HOLD
37,32,32,179,HOLD
37,33,43,177,HOLD
37,31,106,180,HOLD
36,34,55,172,HOLD
36,33,9,176,HOLD
36,33,40,177,HOLD
36,31,54,180,HOLD
36,33,35,176,HOLD
36,34,10,173,HOLD
36,34,33,173,HOLD
