Chg, spotDist, metRelChg, volChg, target
215, 16, 187, 70, HOLD
154, 18, 145, 25, HOLD
161, 18, 143, 27, HOLD
182, 18, 163, 19, HOLD
144, 19, 149, 27, HOLD
160, 18, 168, 30, HOLD
157, 18, 153, 22, HOLD
157, 18, 121, 5, HOLD
165, 18, 138, 48, HOLD
142, 18, 128, 152, HOLD
150, 17, 105, 4, HOLD
133, 17, 139, 18, HOLD
175, 16, 139, 11, HOLD
167, 16, 139, 11, HOLD
160, 21, 144, 29, HOLD
148, 21, 140, 14, HOLD
154, 21, 144, 16, HOLD
132, 20, 120, 7, HOLD
104, 19, 90, 14, HOLD
175, 17, 155, 34, HOLD
135, 17, 128, 4, HOLD
215, 16, 187, 70, HOLD
154, 18, 145, 25, HOLD
161, 18, 143, 27, HOLD
182, 18, 163, 19, HOLD
144, 19, 149, 27, HOLD
160, 18, 168, 30, HOLD
157, 18, 153, 22, HOLD
157, 18, 121, 5, HOLD
165, 18, 138, 48, HOLD
142, 18, 128, 152, HOLD
150, 17, 105, 4, HOLD
133, 17, 139, 18, HOLD
175, 16, 139, 11, HOLD
167, 16, 139, 17, HOLD
147, 17, 139, 7, HOLD
158, 16, 139, 29, HOLD
160, 16, 139, 25, HOLD
190, 16, 180, 20, HOLD
178, 17, 180, 27, HOLD
151, 18, 127, 36, HOLD
149, 17, 101, 15, HOLD
151, 17, 134, 42, HOLD
168, 17, 154, 16, HOLD
165, 17, 150, 32, HOLD
150, 17, 143, 10, HOLD
149, 17, 136, 31, HOLD
139, 16, 150, 5, HOLD
137, 15, 177, 36, HOLD
148, 14, 114, 13, HOLD
127, 13, 101, 16, HOLD
104, 12, 70, 11, HOLD
202, 9, 153, 23, HOLD
169, 11, 137, 23, HOLD
175, 16, 139, 11, HOLD
167, 16, 139, 17, HOLD
147, 17, 139, 7, HOLD
158, 16, 139, 29, HOLD
160, 16, 139, 25, HOLD
190, 16, 180, 20, HOLD
178, 17, 180, 27, HOLD
151, 18, 127, 36, HOLD
149, 17, 101, 15, HOLD
151, 17, 134, 42, HOLD
168, 17, 154, 16, HOLD
165, 17, 150, 32, HOLD
150, 17, 143, 10, HOLD
149, 17, 136, 31, HOLD
139, 16, 150, 5, HOLD
137, 15, 177, 36, HOLD
148, 14, 114, 13, HOLD
127, 13, 101, 16, HOLD
104, 12, 70, 11, HOLD
202, 9, 153, 23, HOLD
169, 11, 137, 33, HOLD
148, 12, 126, 19, HOLD
231, 11, 127, 14, HOLD
183, 14, 125, 50, HOLD
121, 15, 106, 21, HOLD
119, 13, 103, 43, HOLD
141, 11, 119, 18, HOLD
141, 10, 129, 4, HOLD
139, 10, 74, 36, HOLD
193, 9, 169, 34, HOLD
175, 10, 124, 21, HOLD
238, 11, 32, 10, HOLD
255, 14, 121, 26, HOLD
228, 18, 0, 20, HOLD
166, 21, 69, 37, HOLD
160, 22, 55, 23, HOLD
212, 22, 108, 37, HOLD
142, 24, 175, 255, HOLD
90, 23, 48, 1, HOLD
0, 20, 138, 5, HOLD
122, 12, 255, 48, HOLD
175, 11, 192, 14, HOLD
159, 11, 139, 14, HOLD
231, 11, 127, 14, HOLD
183, 14, 125, 50, HOLD
121, 15, 106, 21, HOLD
119, 13, 103, 43, HOLD
141, 11, 119, 18, HOLD
141, 10, 129, 4, HOLD
139, 10, 74, 36, HOLD
193, 9, 169, 34, HOLD
175, 10, 124, 21, HOLD
238, 11, 32, 10, HOLD
255, 14, 121, 26, HOLD
228, 18, 0, 20, HOLD
166, 21, 69, 37, HOLD
160, 22, 55, 23, HOLD
212, 22, 108, 37, HOLD
142, 24, 175, 255, HOLD
90, 23, 48, 1, HOLD
0, 20, 138, 5, HOLD
122, 12, 255, 48, HOLD
175, 11, 192, 14, HOLD
159, 11, 139, 19, HOLD
149, 11, 95, 23, HOLD
220, 11, 227, 17, HOLD
199, 13, 137, 24, HOLD
117, 15, 93, 22, HOLD
131, 13, 121, 32, HOLD
99, 12, 93, 11, HOLD
113, 9, 139, 20, HOLD
199, 7, 158, 47, HOLD
110, 8, 105, 6, HOLD
110, 6, 122, 34, HOLD
131, 3, 167, 10, HOLD
195, 2, 173, 34, HOLD
161, 4, 127, 19, HOLD
208, 4, 193, 19, HOLD
181, 6, 157, 31, HOLD
176, 7, 44, 13, HOLD
119, 8, 91, 34, HOLD
117, 6, 158, 21, HOLD
168, 3, 143, 27, HOLD
176, 4, 154, 32, HOLD
184, 5, 147, 32, HOLD
179, 24, 145, 26, HOLD
161, 25, 146, 15, HOLD
134, 25, 121, 19, HOLD
150, 24, 135, 23, HOLD
161, 23, 147, 42, HOLD
188, 23, 150, 0, HOLD
172, 25, 140, 58, HOLD
183, 25, 155, 1, HOLD
183, 26, 132, 43, HOLD
174, 27, 115, 40, HOLD
169, 27, 126, 11, HOLD
145, 28, 125, 32, HOLD
149, 27, 135, 27, HOLD
163, 27, 142, 34, HOLD
164, 27, 144, 13, HOLD
152, 27, 153, 26, HOLD
157, 27, 152, 16, HOLD
154, 26, 135, 178, HOLD
164, 26, 134, 21, HOLD
178, 26, 158, 8, HOLD
163, 27, 149, 0, HOLD
159, 27, 143, 31, HOLD
157, 27, 132, 17, HOLD
161, 27, 147, 17, HOLD
141, 27, 126, 14, HOLD
148, 26, 132, 32, HOLD
163, 26, 137, 37, HOLD
174, 26, 159, 13, HOLD
175, 26, 155, 57, HOLD
156, 27, 152, 12, HOLD
149, 27, 153, 18, HOLD
152, 26, 150, 7, HOLD
171, 26, 151, 28, HOLD
148, 26, 130, 69, HOLD
159, 26, 142, 21, HOLD
165, 26, 133, 18, HOLD
156, 26, 144, 23, HOLD
159, 26, 128, 38, HOLD
154, 26, 126, 18, HOLD
141, 25, 145, 19, HOLD
137, 25, 142, 15, HOLD
150, 24, 125, 15, HOLD
161, 27, 147, 17, HOLD
141, 27, 126, 14, HOLD
148, 26, 132, 32, HOLD
163, 26, 137, 37, HOLD
174, 26, 159, 13, HOLD
175, 26, 155, 57, HOLD
156, 27, 152, 12, HOLD
149, 27, 153, 18, HOLD
152, 26, 150, 7, HOLD
171, 26, 151, 28, HOLD
148, 26, 130, 69, HOLD
159, 26, 142, 21, HOLD
165, 26, 133, 18, HOLD
156, 26, 144, 23, HOLD
159, 26, 128, 38, HOLD
154, 26, 126, 18, HOLD
141, 25, 145, 19, HOLD
137, 25, 142, 15, HOLD
150, 24, 125, 26, HOLD
160, 23, 144, 29, HOLD
148, 23, 140, 14, HOLD
154, 23, 144, 16, HOLD
132, 22, 120, 7, HOLD
104, 21, 90, 14, HOLD
175, 18, 155, 34, HOLD
135, 19, 128, 4, HOLD
215, 18, 187, 70, HOLD
154, 20, 145, 25, HOLD
161, 20, 143, 27, HOLD
182, 20, 163, 19, HOLD
144, 21, 149, 27, HOLD
160, 20, 168, 30, HOLD
157, 20, 153, 22, HOLD
157, 20, 121, 5, HOLD
165, 20, 138, 48, HOLD
142, 20, 128, 152, HOLD
150, 19, 105, 4, HOLD
133, 19, 139, 18, HOLD
175, 18, 139, 11, HOLD
167, 18, 139, 11, HOLD
160, 23, 144, 29, HOLD
148, 23, 140, 14, HOLD
154, 23, 144, 16, HOLD
132, 22, 120, 7, HOLD
104, 21, 90, 14, HOLD
175, 18, 155, 34, HOLD
135, 19, 128, 4, HOLD
215, 18, 187, 70, HOLD
154, 20, 145, 25, HOLD
161, 20, 143, 27, HOLD
182, 20, 163, 19, HOLD
144, 21, 149, 27, HOLD
160, 20, 168, 30, HOLD
157, 20, 153, 22, HOLD
157, 20, 121, 5, HOLD
165, 20, 138, 48, HOLD
142, 20, 128, 152, HOLD
150, 19, 105, 4, HOLD
133, 19, 139, 18, HOLD
175, 18, 139, 11, HOLD
167, 18, 139, 17, HOLD
147, 19, 139, 7, HOLD
158, 18, 139, 29, HOLD
160, 18, 139, 25, HOLD
190, 18, 180, 20, HOLD
178, 19, 180, 27, HOLD
151, 20, 127, 36, HOLD
149, 19, 101, 15, HOLD
151, 19, 134, 42, HOLD
168, 18, 154, 16, HOLD
165, 19, 150, 32, HOLD
150, 19, 143, 10, HOLD
149, 19, 136, 31, HOLD
139, 18, 150, 5, HOLD
137, 17, 177, 36, HOLD
148, 16, 114, 13, HOLD
127, 15, 101, 16, HOLD
104, 14, 70, 11, HOLD
202, 11, 153, 23, HOLD
169, 13, 137, 23, HOLD
175, 18, 139, 11, HOLD
167, 18, 139, 17, HOLD
147, 19, 139, 7, HOLD
158, 18, 139, 29, HOLD
160, 18, 139, 25, HOLD
190, 18, 180, 20, HOLD
178, 19, 180, 27, HOLD
151, 20, 127, 36, HOLD
149, 19, 101, 15, HOLD
151, 19, 134, 42, HOLD
168, 18, 154, 16, HOLD
165, 19, 150, 32, HOLD
150, 19, 143, 10, HOLD
149, 19, 136, 31, HOLD
139, 18, 150, 5, HOLD
137, 17, 177, 36, HOLD
148, 16, 114, 13, HOLD
127, 15, 101, 16, HOLD
104, 14, 70, 11, HOLD
202, 11, 153, 23, HOLD
169, 13, 137, 33, HOLD
148, 13, 126, 19, HOLD
231, 13, 127, 14, HOLD
183, 16, 125, 50, HOLD
121, 17, 106, 21, HOLD
119, 15, 103, 43, HOLD
141, 13, 119, 18, HOLD
141, 12, 129, 4, HOLD
139, 11, 74, 36, HOLD
193, 10, 169, 34, HOLD
175, 12, 124, 21, HOLD
238, 13, 32, 10, HOLD
255, 16, 121, 26, HOLD
228, 20, 0, 20, HOLD
166, 23, 69, 37, HOLD
160, 24, 55, 23, HOLD
212, 24, 108, 37, HOLD
142, 26, 175, 255, HOLD
90, 25, 48, 1, HOLD
0, 22, 138, 5, HOLD
122, 14, 255, 48, HOLD
175, 13, 192, 14, HOLD
159, 13, 139, 14, HOLD
231, 13, 127, 14, HOLD
183, 16, 125, 50, HOLD
121, 17, 106, 21, HOLD
119, 15, 103, 43, HOLD
141, 13, 119, 18, HOLD
141, 12, 129, 4, HOLD
139, 11, 74, 36, HOLD
193, 10, 169, 34, HOLD
175, 12, 124, 21, HOLD
238, 13, 32, 10, HOLD
255, 16, 121, 26, HOLD
